"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"FAM69B","Previous symbol","DIPK1B","divergent protein kinase domain 1B","HGNC:28290","9q34.3"
"LOC348926","Unmatched","","","",""
"LOC642587","Unmatched","","","",""
"HEATR7B2","Previous symbol","MROH2B","maestro heat like repeat family member 2B","HGNC:26857","5p13.1"
"CXorf26","Previous symbol","PBDC1","polysaccharide biosynthesis domain containing 1","HGNC:28790","Xq13.3"
"SEPT5","Previous symbol","SEPTIN5","septin 5","HGNC:9164","22q11.21"
"MIR499","Previous symbol","MIR499A","microRNA 499a","HGNC:32133","20q11.22"
"IL28B","Previous symbol","IFNL3","interferon lambda 3","HGNC:18365","19q13.2"
"FAM71A","Previous symbol","GARIN4","golgi associated RAB2 interactor family member 4","HGNC:26541","1q32.3"
"C3orf67","Previous symbol","CFAP20DC","CFAP20 domain containing","HGNC:24763","3p14.2"
"C10orf114","Previous symbol","MIR1915HG","MIR1915 host gene","HGNC:31448","10p12.31"
"C1orf84","Previous symbol","SZT2","SZT2 subunit of KICSTOR complex","HGNC:29040","1p34.2"
"LOC139201","Unmatched","","","",""
"LOC147804","Unmatched","","","",""
"LOC100130264","Unmatched","","","",""
"C19orf43","Previous symbol","TRIR","telomerase RNA component interacting RNase","HGNC:28424","19p13.13"
"C14orf143","Previous symbol","EFCAB11","EF-hand calcium binding domain 11","HGNC:20357","14q32.11"
"WDR34","Previous symbol","DYNC2I2","dynein 2 intermediate chain 2","HGNC:28296","9q34.11"
"ZNF673","Previous symbol","KRBOX4","KRAB box domain containing 4","HGNC:26007","Xp11.3"
"C4orf29","Previous symbol","ABHD18","abhydrolase domain containing 18","HGNC:26111","4q28.2"
"C3orf45","Previous symbol","LSMEM2","leucine rich single-pass membrane protein 2","HGNC:26781","3p21.31"
"C19orf26","Previous symbol","CBARP","CACN subunit beta associated regulatory protein","HGNC:28617","19p13.3"
"C9orf170","Previous symbol","LINC02872","long intergenic non-protein coding RNA 2872","HGNC:33817","9q21.33"
"SNORD119","Approved symbol","SNORD119","small nucleolar RNA, C/D box 119","HGNC:33558","20p13"
"LOC149620","Unmatched","","","",""
"MCART2","Previous symbol","SLC25A52","solute carrier family 25 member 52","HGNC:23324","18q12.1"
"TCEB3CL","Previous symbol","ELOA3BP","elongin A3 family member B, pseudogene","HGNC:31007","18q21.1"
"LOC401588","Unmatched","","","",""
"C21orf82","Previous symbol","LINC00310","long intergenic non-protein coding RNA 310","HGNC:16414","21q22.11"
"BRP44","Previous symbol","MPC2","mitochondrial pyruvate carrier 2","HGNC:24515","1q24.2"
"TMEM188","Previous symbol","CNEP1R1","CTD nuclear envelope phosphatase 1 regulatory subunit 1","HGNC:26759","16q12.1"
"C4orf52","Previous symbol","SMIM20","small integral membrane protein 20","HGNC:37260","4p15.2"
"LOC100289341","Unmatched","","","",""
"SNORA39","Previous symbol","SNORA71E","small nucleolar RNA, H/ACA box 71E","HGNC:32632","20q11.23"
"KIAA0495","Previous symbol","TP73-AS1","TP73 antisense RNA 1","HGNC:29052","1p36.32"
"C3orf15","Previous symbol","CFAP91","cilia and flagella associated protein 91","HGNC:24010","3q13.33"
"KIAA0430","Previous symbol","MARF1","meiosis regulator and mRNA stability factor 1","HGNC:29562","16p13.11"
"DDX12","Previous symbol","DDX12P","DEAD/H-box helicase 12, pseudogene","HGNC:2737","12p13.31"
"LOC650623","Unmatched","","","",""
"ORC5L","Previous symbol","ORC5","origin recognition complex subunit 5","HGNC:8491","7q22.1-q22.2"
"FLJ35220","Alias symbol","ENDOV","endonuclease V","HGNC:26640","17q25.3"
"LOC100131434","Unmatched","","","",""
"FAM55C","Previous symbol","NXPE3","neurexophilin and PC-esterase domain family member 3","HGNC:28238","3q12.3"
"C2orf39","Previous symbol","DRC1","dynein regulatory complex subunit 1","HGNC:24245","2p23.3"
"C3orf10","Previous symbol","BRK1","BRICK1 subunit of SCAR/WAVE actin nucleating complex","HGNC:23057","3p25.3"
"NCRNA00174","Previous symbol","LINC00174","long intergenic non-protein coding RNA 174","HGNC:27788","7q11.21"
"GBAS","Previous symbol","NIPSNAP2","nipsnap homolog 2","HGNC:4179","7p11.2"
"PROSC","Previous symbol","PLPBP","pyridoxal phosphate binding protein","HGNC:9457","8p11.23"
"CCDC84","Previous symbol","CENATAC","centrosomal AT-AC splicing factor","HGNC:30460","11q23.3"
"NOTCH2NL","Previous symbol","NOTCH2NLA","notch 2 N-terminal like A","HGNC:31862","1q21.1"
"ALPPL2","Previous symbol","ALPG","alkaline phosphatase, germ cell","HGNC:441","2q37.1"
"SRCRB4D","Previous symbol","SSC4D","scavenger receptor cysteine rich family member with 4 domains","HGNC:14461","7q11.23"
"C4orf37","Previous symbol","STPG2","sperm tail PG-rich repeat containing 2","HGNC:28712","4q22.3-q23"
"LOC441177","Unmatched","","","",""
"CCDC109B","Previous symbol","MCUB","mitochondrial calcium uniporter dominant negative subunit beta","HGNC:26076","4q25"
"BRUNOL6","Previous symbol","CELF6","CUGBP Elav-like family member 6","HGNC:14059","15q23"
"C6orf94","Previous symbol","ZC2HC1B","zinc finger C2HC-type containing 1B","HGNC:21174","6q24.2"
"HIST2H2AC","Previous symbol","H2AC20","H2A clustered histone 20","HGNC:4738","1q21.2"
"C5orf56","Previous symbol","IRF1-AS1","IRF1 antisense RNA 1","HGNC:33838","5q31.1"
"C1orf126","Previous symbol","TMEM51-AS1","TMEM51 antisense RNA 1","HGNC:26301","1p36.21"
"SFRS13A","Previous symbol","SRSF10","serine and arginine rich splicing factor 10","HGNC:16713","1p36.11"
"MIR220B","Entry withdrawn","MIR220B","","HGNC:33640",""
"CXorf23","Previous symbol","BCLAF3","BCLAF1 and THRAP3 family member 3","HGNC:27413","Xp22.12"
"ZFATAS","Previous symbol","ZFAT-AS1","ZFAT antisense RNA 1","HGNC:33992","8q24.22"
"GUCY1A3","Previous symbol","GUCY1A1","guanylate cyclase 1 soluble subunit alpha 1","HGNC:4685","4q32.1"
"TMEM56","Previous symbol","TLCD4","TLC domain containing 4","HGNC:26477","1p21.3"
"LOC150197","Unmatched","","","",""
"C6orf106","Previous symbol","ILRUN","inflammation and lipid regulator with UBA-like and NBR1-like domains","HGNC:21215","6p21.31"
"KIAA0947","Previous symbol","ICE1","interactor of little elongation complex ELL subunit 1","HGNC:29154","5p15.32"
"RACGAP1P","Previous symbol","RACGAP1P1","Rac GTPase activating protein 1 pseudogene 1","HGNC:24689","12q12"
"KLKBL4","Alias symbol","PRSS54","serine protease 54","HGNC:26336","16q21"
"FAM65B","Previous symbol","RIPOR2","RHO family interacting cell polarization regulator 2","HGNC:13872","6p22.3"
"C8orf83","Previous symbol","TRIQK","triple QxxK/R motif containing","HGNC:27828","8q22.1"
"HIST1H3D","Previous symbol","H3C4","H3 clustered histone 4","HGNC:4767","6p22.2"
"LQK1","Alias symbol","FLVCR1-DT","FLVCR1 divergent transcript","HGNC:39077","1q32.3"
"SFRS2","Previous symbol","SRSF2","serine and arginine rich splicing factor 2","HGNC:10783","17q25.2"
"C22orf25","Previous symbol","TANGO2","transport and golgi organization 2 homolog","HGNC:25439","22q11.21"
"C1orf182","Previous symbol","TSACC","TSSK6 activating cochaperone","HGNC:30636","1q22"
"BTF3L1","Previous symbol","BTF3P11","basic transcription factor 3 pseudogene 11","HGNC:1126","13q22.3"
"LOC100271836","Unmatched","","","",""
"PER4","Alias symbol","PER3P1","PER3 pseudogene 1","HGNC:54525","7p21.3"
"LOC400940","Unmatched","","","",""
"C3orf58","Previous symbol","DIPK2A","divergent protein kinase domain 2A","HGNC:28490","3q24"
"C6orf218","Previous symbol","LINC00518","long intergenic non-protein coding RNA 518","HGNC:28626","6p24.3"
"FAM127B","Previous symbol","RTL8A","retrotransposon Gag like 8A","HGNC:24514","Xq26.3"
"C7orf13","Previous symbol","RNF32-DT","RNF32 divergent transcript","HGNC:48971","7q36.3"
"C10orf58","Previous symbol","PRXL2A","peroxiredoxin like 2A","HGNC:28651","10q23.1"
"MORG1","Alias symbol","WDR83","WD repeat domain 83","HGNC:32672","19p13.13"
"BTN2A3","Previous symbol","BTN2A3P","butyrophilin subfamily 2 member A3, pseudogene","HGNC:13229","6p22.2"
"H2AFV","Previous symbol","H2AZ2","H2A.Z variant histone 2","HGNC:20664","7p13"
"FAM22A","Previous symbol","NUTM2A","NUT family member 2A","HGNC:23438","10q23.2"
"LOC440563","Unmatched","","","",""
"NCRNA00158","Previous symbol","LINC00158","long intergenic non-protein coding RNA 158","HGNC:1283","21q21.2"
"C15orf44","Previous symbol","INTS14","integrator complex subunit 14","HGNC:25372","15q22.31"
"C5orf33","Previous symbol","NADK2","NAD kinase 2, mitochondrial","HGNC:26404","5p13.2"
"WBP5","Previous symbol","TCEAL9","transcription elongation factor A like 9","HGNC:30084","Xq22.2"
"C17orf68","Previous symbol","CTC1","CST telomere replication complex component 1","HGNC:26169","17p13.1"
"C15orf56","Previous symbol","PAK6-AS1","PAK6 antisense RNA 1","HGNC:33868","15q15.1"
"LOC283314","Unmatched","","","",""
"GRINL1A","Alias symbol","GCOM1","GCOM1, MYZAP-POLR2M combined locus","HGNC:26424","15q21.3"
"GRINL1A","Previous symbol","POLR2M","RNA polymerase II subunit M","HGNC:14862","15q21.3"
"C12orf77","Previous symbol","LINC02909","long intergenic non-protein coding RNA 2909","HGNC:27282","12p12.1"
"FAM123A","Previous symbol","AMER2","APC membrane recruitment protein 2","HGNC:26360","13q12.13"
"C1orf113","Previous symbol","SH3D21","SH3 domain containing 21","HGNC:26236","1p34.3"
"KIAA0226","Previous symbol","RUBCN","rubicon autophagy regulator","HGNC:28991","3q29"
"LOC285629","Unmatched","","","",""
"STL","Alias symbol","RNF217-AS1","RNF217 antisense RNA 1 (head to head)","HGNC:50866","6q22.31"
"GPR126","Previous symbol","ADGRG6","adhesion G protein-coupled receptor G6","HGNC:13841","6q24.2"
"VPS24","Previous symbol","CHMP3","charged multivesicular body protein 3","HGNC:29865","2p11.2"
"CXorf21","Previous symbol","TASL","TLR adaptor interacting with endolysosomal SLC15A4","HGNC:25667","Xp21.2"
"C11orf45","Previous symbol","KCNJ5-AS1","KCNJ5 antisense RNA 1","HGNC:28584","11q24.3"
"C14orf162","Previous symbol","CCDC177","coiled-coil domain containing 177","HGNC:23243","14q24.1"
"LOC344595","Unmatched","","","",""
"LOC731789","Unmatched","","","",""
"C1orf200","Previous symbol","PIK3CD-AS1","PIK3CD antisense RNA 1","HGNC:32346","1p36.22"
"C18orf16","Previous symbol","AQP4-AS1","AQP4 antisense RNA 1","HGNC:26399","18q11.2"
"C5orf55","Previous symbol","EXOC3-AS1","EXOC3 antisense RNA 1","HGNC:25175","5p15.33"
"C17orf79","Previous symbol","COPRS","coordinator of PRMT5 and differentiation stimulator","HGNC:28848","17q11.2"
"PRDXDD1P","Previous symbol","PRORSD1P","prolyl-tRNA synthetase associated domain containing 1, pseudogene","HGNC:34379","2p16.1"
"LOC283404","Unmatched","","","",""
"LOC554202","Alias symbol","MIR31HG","MIR31 host gene","HGNC:37187","9p21.3"
"KIAA1432","Previous symbol","RIC1","RIC1 homolog, RAB6A GEF complex partner 1","HGNC:17686","9p24.1"
"LOC339524","Unmatched","","","",""
"LOC154449","Unmatched","","","",""
"FLJ26850","Alias symbol","ZNF473CR","ZNF473 cis regulating lncRNA","HGNC:56021","19q13.33"
"LOC401097","Unmatched","","","",""
"C7orf44","Previous symbol","COA1","cytochrome c oxidase assembly factor 1","HGNC:21868","7p13"
"SNAR-I","Approved symbol","SNAR-I","small NF90 (ILF3) associated RNA I","HGNC:34330","3q28"
"C21orf49","Previous symbol","C21orf62-AS1","C21orf62 antisense RNA 1","HGNC:1290","21q22.11"
"C21orf66","Previous symbol","PAXBP1","PAX3 and PAX7 binding protein 1","HGNC:13579","21q22.11"
"PPBPL1","Previous symbol","PPBPP1","pro-platelet basic protein pseudogene 1","HGNC:9241","4q13.3"
"MUT","Previous symbol","MMUT","methylmalonyl-CoA mutase","HGNC:7526","6p12.3"
"IGJ","Previous symbol","JCHAIN","joining chain of multimeric IgA and IgM","HGNC:5713","4q13.3"
"TMEM195","Previous symbol","AGMO","alkylglycerol monooxygenase","HGNC:33784","7p21.2"
"C8orf45","Previous symbol","MCMDC2","minichromosome maintenance domain containing 2","HGNC:26368","8q13.1"
"FAM69C","Previous symbol","DIPK1C","divergent protein kinase domain 1C","HGNC:31729","18q22.3"
"LOC100287227","Unmatched","","","",""
"JMJD5","Previous symbol","KDM8","lysine demethylase 8","HGNC:25840","16p12.1"
"OSTCL","Previous symbol","OSTCP1","oligosaccharyltransferase complex subunit pseudogene 1","HGNC:30530","6q25.3"
"C10orf113","Previous symbol","NEBL","nebulette","HGNC:16932","10p12.31"
"C16orf38","Previous symbol","PTX4","pentraxin 4","HGNC:14171","16p13.3"
"MIR1979","Entry withdrawn","MIR1979","","HGNC:37067",""
"IL1F9","Previous symbol","IL36G","interleukin 36 gamma","HGNC:15741","2q14.1"
"MSL3L2","Previous symbol","MSL3P1","MSL complex subunit 3 pseudogene 1","HGNC:17837","2q37.1"
"CTSL3","Previous symbol","CTSL3P","cathepsin L family member 3, pseudogene","HGNC:33132","9q21.33"
"FAM65A","Previous symbol","RIPOR1","RHO family interacting cell polarization regulator 1","HGNC:25836","16q22.1"
"C16orf48","Previous symbol","ENKD1","enkurin domain containing 1","HGNC:25246","16q22.1"
"LOC339674","Unmatched","","","",""
"PVRL2","Previous symbol","NECTIN2","nectin cell adhesion molecule 2","HGNC:9707","19q13.32"
"IARS","Previous symbol","IARS1","isoleucyl-tRNA synthetase 1","HGNC:5330","9q22.31"
"RGAG4","Previous symbol","RTL5","retrotransposon Gag like 5","HGNC:29430","Xq13.1"
"LOC151300","Unmatched","","","",""
"IL1F5","Previous symbol","IL36RN","interleukin 36 receptor antagonist","HGNC:15561","2q14.1"
"ATHL1","Previous symbol","PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase","HGNC:26210","11p15.5"
"KIAA0317","Previous symbol","AREL1","apoptosis resistant E3 ubiquitin protein ligase 1","HGNC:20363","14q24.3"
"C7orf60","Previous symbol","BMT2","base methyltransferase of 25S rRNA 2 homolog","HGNC:26475","7q31.1"
"C8orf42","Previous symbol","TDRP","testis development related protein","HGNC:26951","8p23.3"
"HAS2AS","Previous symbol","HAS2-AS1","HAS2 antisense RNA 1","HGNC:34340","8q24.13"
"OSTalpha","Alias symbol","SLC51A","solute carrier family 51 subunit alpha","HGNC:29955","3q29"
"TMEM178","Previous symbol","TMEM178A","transmembrane protein 178A","HGNC:28517","2p22.1"
"C11orf9","Previous symbol","MYRF","myelin regulatory factor","HGNC:1181","11q12.2"
"DKFZP434K028","Alias symbol","MYRF-AS1","MYRF antisense RNA 1","HGNC:24506","11q12.2"
"LOC221122","Unmatched","","","",""
"THSD1P","Previous symbol","THSD1P1","thrombospondin type 1 domain containing 1 pseudogene 1","HGNC:31375","13q14.3"
"LOC283663","Unmatched","","","",""
"C21orf121","Previous symbol","ZNF295-AS1","ZNF295 antisense RNA 1","HGNC:23130","21q22.3"
"WBSCR28","Previous symbol","TMEM270","transmembrane protein 270","HGNC:23018","7q11.23"
"CTGF","Previous symbol","CCN2","cellular communication network factor 2","HGNC:2500","6q23.2"
"C4orf32","Previous symbol","FAM241A","family with sequence similarity 241 member A","HGNC:26813","4q25"
"HILS1","Previous symbol","H1-9P","H1.9 linker histone, pseudogene","HGNC:30616","17q21.33"
"SEC1","Unmatched","","","",""
"CCDC94","Previous symbol","YJU2","YJU2 splicing factor homolog","HGNC:25518","19p13.3"
"LOC100128164","Unmatched","","","",""
"LOC286002","Unmatched","","","",""
"MAP3K7IP3","Previous symbol","TAB3","TGF-beta activated kinase 1 (MAP3K7) binding protein 3","HGNC:30681","Xp21.2"
"C1orf212","Previous symbol","SMIM12","small integral membrane protein 12","HGNC:25154","1p34.3"
"MIR451","Previous symbol","MIR451A","microRNA 451a","HGNC:32053","17q11.2"
"C21orf96","Previous symbol","RUNX1-IT1","RUNX1 intronic transcript 1","HGNC:16623","21q22.12"
"PPBPL2","Previous symbol","PPBPP2","pro-platelet basic protein pseudogene 2","HGNC:16981","4q13.3"
"RAD51L3","Previous symbol","RAD51D","RAD51 paralog D","HGNC:9823","17q12"
"CCDC42B","Previous symbol","CFAP73","cilia and flagella associated protein 73","HGNC:37100","12q24.13"
"LOC284837","Unmatched","","","",""
"CCDC37","Previous symbol","CFAP100","cilia and flagella associated protein 100","HGNC:26842","3q21.3"
"C9orf11","Previous symbol","EQTN","equatorin","HGNC:1359","9p21.2"
"C20orf30","Previous symbol","TMEM230","transmembrane protein 230","HGNC:15876","20p13-p12.3"
"C1orf97","Previous symbol","LINC00467","long intergenic non-protein coding RNA 467","HGNC:28227","1q32.3"
"LOC283332","Unmatched","","","",""
"TMEM27","Previous symbol","CLTRN","collectrin, amino acid transport regulator","HGNC:29437","Xp22.2"
"LOC645166","Unmatched","","","",""
"C19orf28","Previous symbol","MFSD12","major facilitator superfamily domain containing 12","HGNC:28299","19p13.3"
"C19orf71","Previous symbol","TEKTIP1","tektin bundle interacting protein 1","HGNC:34496","19p13.3"
"TMEM48","Previous symbol","NDC1","NDC1 transmembrane nucleoporin","HGNC:25525","1p32.3"
"PPPDE1","Previous symbol","DESI2","desumoylating isopeptidase 2","HGNC:24264","1q44"
"C2orf43","Previous symbol","LDAH","lipid droplet associated hydrolase","HGNC:26145","2p24.1"
"C7orf26","Previous symbol","INTS15","integrator complex subunit 15","HGNC:21702","7p22.1"
"MOBKL3","Previous symbol","MOB4","MOB family member 4, phocein","HGNC:17261","2q33.1"
"MIR147","Previous symbol","MIR147A","microRNA 147a","HGNC:31534","9q33.2"
"CCDC123","Previous symbol","CEP89","centrosomal protein 89","HGNC:25907","19q13.11"
"C11orf84","Previous symbol","SPINDOC","spindlin interactor and repressor of chromatin binding","HGNC:25115","11q13.1"
"LOC654433","Unmatched","","","",""
"GUSBL1","Previous symbol","GUSBP2","GUSB pseudogene 2","HGNC:18792","6p22.2"
"C14orf50","Previous symbol","PPP1R36","protein phosphatase 1 regulatory subunit 36","HGNC:20097","14q23.3"
"LOC100131726","Unmatched","","","",""
"NCRNA00113","Previous symbol","LINC00113","long intergenic non-protein coding RNA 113","HGNC:1264","21q21.3"
"C4orf34","Previous symbol","SMIM14","small integral membrane protein 14","HGNC:27321","4p14"
"PAPL","Alias symbol","ACP7","acid phosphatase 7, tartrate resistant (putative)","HGNC:33781","19q13.2"
"LOC284749","Unmatched","","","",""
"CBARA1","Previous symbol","MICU1","mitochondrial calcium uptake 1","HGNC:1530","10q22.1"
"SNORD74","Approved symbol","SNORD74","small nucleolar RNA, C/D box 74","HGNC:32734","1q25.1"
"KIAA0174","Previous symbol","IST1","IST1 factor associated with ESCRT-III","HGNC:28977","16q22.2"
"ZCCHC5","Previous symbol","RTL3","retrotransposon Gag like 3","HGNC:22997","Xq21.1"
"ATP5E","Previous symbol","ATP5F1E","ATP synthase F1 subunit epsilon","HGNC:838","20q13.32"
"CCDC49","Previous symbol","CWC25","CWC25 spliceosome associated protein homolog","HGNC:25989","17q12"
"FLJ46111","Unmatched","","","",""
"HIST1H2AB","Previous symbol","H2AC4","H2A clustered histone 4","HGNC:4734","6p22.2"
"C21orf34","Previous symbol","MIR99AHG","mir-99a-let-7c cluster host gene","HGNC:1274","21q21.1"
"C12orf70","Previous symbol","SMCO2","single-pass membrane protein with coiled-coil domains 2","HGNC:34448","12p11.23"
"TMEM183B","Previous symbol","TMEM183BP","transmembrane protein 183B, pseudogene","HGNC:33205","3q25.1"
"MTP18","Alias symbol","MTFP1","mitochondrial fission process 1","HGNC:26945","22q12.2"
"C8orf79","Previous symbol","TRMT9B","tRNA methyltransferase 9B (putative)","HGNC:26725","8p22"
"C1orf38","Previous symbol","THEMIS2","thymocyte selection associated family member 2","HGNC:16839","1p35.3"
"C10orf129","Previous symbol","ACSM6","acyl-CoA synthetase medium chain family member 6","HGNC:31665","10q23.33"
"C20orf195","Previous symbol","FNDC11","fibronectin type III domain containing 11","HGNC:28764","20q13.33"
"C15orf29","Previous symbol","KATNBL1","katanin regulatory subunit B1 like 1","HGNC:26199","15q14"
"KCNE1L","Previous symbol","KCNE5","potassium voltage-gated channel subfamily E regulatory subunit 5","HGNC:6241","Xq23"
"LOC730668","Unmatched","","","",""
"LOC144438","Unmatched","","","",""
"ANKRD56","Previous symbol","SOWAHB","sosondowah ankyrin repeat domain family member B","HGNC:32958","4q21.1"
"ATP5A1","Previous symbol","ATP5F1A","ATP synthase F1 subunit alpha","HGNC:823","18q21.1"
"C14orf167","Previous symbol","DHRS4-AS1","DHRS4 antisense RNA 1","HGNC:23175","14q11.2"
"H2AFX","Previous symbol","H2AX","H2A.X variant histone","HGNC:4739","11q23.3"
"RNF219","Previous symbol","OBI1","ORC ubiquitin ligase 1","HGNC:20308","13q31.1"
"C17orf28","Previous symbol","HID1","HID1 domain containing","HGNC:15736","17q25.1"
"C3orf25","Previous symbol","EFCAB12","EF-hand calcium binding domain 12","HGNC:28061","3q21.3"
"CGB","Previous symbol","CGB3","chorionic gonadotropin subunit beta 3","HGNC:1886","19q13.33"
"FAM164C","Previous symbol","ZC2HC1C","zinc finger C2HC-type containing 1C","HGNC:20354","14q24.3"
"C3orf31","Previous symbol","TAMM41","TAM41 mitochondrial translocator assembly and maintenance homolog","HGNC:25187","3p25.2"
"C1orf229","Previous symbol","LINC02897","long intergenic non-protein coding RNA 2897","HGNC:33759","1q44"
"C19orf70","Previous symbol","MICOS13","mitochondrial contact site and cristae organizing system subunit 13","HGNC:33702","19p13.3"
"FLJ25363","Unmatched","","","",""
"LOC84931","Unmatched","","","",""
"ITIH5L","Previous symbol","ITIH6","inter-alpha-trypsin inhibitor heavy chain family member 6","HGNC:28907","Xp11.22"
"FAM48B1","Previous symbol","SUPT20HL1","SUPT20H like 1","HGNC:30773","Xp22.11"
"FAM160B1","Previous symbol","FHIP2A","FHF complex subunit HOOK interacting protein 2A","HGNC:29320","10q25.3"
"HEATR7A","Previous symbol","MROH1","maestro heat like repeat family member 1","HGNC:26958","8q24.3"
"CMAH","Previous symbol","CMAHP","cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene","HGNC:2098","6p22.3"
"LOC644936","Unmatched","","","",""
"MRE11A","Previous symbol","MRE11","MRE11 homolog, double strand break repair nuclease","HGNC:7230","11q21"
"LOC641746","Unmatched","","","",""
"SNORA45","Previous symbol","SNORA3B","small nucleolar RNA, H/ACA box 3B","HGNC:32638","11p15.4"
"SNORA3","Previous symbol","SNORA3A","small nucleolar RNA, H/ACA box 3A","HGNC:32586","11p15.4"
"LOC646498","Unmatched","","","",""
"SPERT","Previous symbol","CBY2","chibby family member 2","HGNC:30720","13q14.13"
"BZRAP1","Previous symbol","TSPOAP1","TSPO associated protein 1","HGNC:16831","17q22"
"LOC100190939","Unmatched","","","",""
"AACSL","Previous symbol","AACSP1","acetoacetyl-CoA synthetase pseudogene 1","HGNC:18226","5q35.3"
"C6orf222","Previous symbol","BNIP5","BCL2 interacting protein 5","HGNC:33769","6p21.31"
"SEPT10","Previous symbol","SEPTIN10","septin 10","HGNC:14349","2q13"
"C8orf39","Previous symbol","RBM12B-AS1","RBM12B antisense RNA 1","HGNC:28818","8q22.1"
"C10orf2","Previous symbol","TWNK","twinkle mtDNA helicase","HGNC:1160","10q24.31"
"FAM55A","Previous symbol","NXPE1","neurexophilin and PC-esterase domain family member 1","HGNC:28527","11q23.2"
"KIAA1609","Previous symbol","MEAK7","MTOR associated protein, eak-7 homolog","HGNC:29325","16q24.1"
"GRLF1","Previous symbol","ARHGAP35","Rho GTPase activating protein 35","HGNC:4591","19q13.32"
"C4orf35","Previous symbol","CABS1","calcium binding protein, spermatid associated 1","HGNC:30710","4q13.3"
"WHAMML2","Previous symbol","WHAMMP2","WHAMM pseudogene 2","HGNC:32360","15q13.1"
"C20orf123","Previous symbol","OCSTAMP","osteoclast stimulatory transmembrane protein","HGNC:16116","20q13.12"
"FAM48B2","Previous symbol","SUPT20HL2","SUPT20H like 2","HGNC:31797","Xp22.11"
"LOC360030","Unmatched","","","",""
"ROBLD3","Previous symbol","LAMTOR2","late endosomal/lysosomal adaptor, MAPK and MTOR activator 2","HGNC:29796","1q22"
"LOC440895","Unmatched","","","",""
"LIMS3-LOC440895","Unmatched","","","",""
"PION","Previous symbol","GSAP","gamma-secretase activating protein","HGNC:28042","7q11.23"
"C20orf107","Previous symbol","FAM209B","family with sequence similarity 209 member B","HGNC:16101","20q13.31"
"FAM92B","Previous symbol","CIBAR2","CBY1 interacting BAR domain containing 2","HGNC:24781","16q24.1"
"LOC554203","Unmatched","","","",""
"AAA1","Alias symbol","NPSR1-AS1","NPSR1 antisense RNA 1","HGNC:22128","7p14.3"
"C7orf69","Previous symbol","PKD1L1-AS1","PKD1L1 antisense RNA 1","HGNC:21911","7p12.3"
"LOC100270710","Unmatched","","","",""
"ZNF238","Previous symbol","ZBTB18","zinc finger and BTB domain containing 18","HGNC:13030","1q44"
"C3orf43","Previous symbol","SMCO1","single-pass membrane protein with coiled-coil domains 1","HGNC:27407","3q29"
"FAM46D","Previous symbol","TENT5D","terminal nucleotidyltransferase 5D","HGNC:28399","Xq21.1"
"NARFL","Previous symbol","CIAO3","cytosolic iron-sulfur assembly component 3","HGNC:14179","16p13.3"
"C13orf31","Previous symbol","LACC1","laccase domain containing 1","HGNC:26789","13q14.11"
"FAM57A","Previous symbol","TLCD3A","TLC domain containing 3A","HGNC:29646","17p13.3"
"LOC100127888","Unmatched","","","",""
"LOC100272228","Unmatched","","","",""
"CXorf40B","Previous symbol","EOLA2","endothelium and lymphocyte associated ASCH domain 2","HGNC:17402","Xq28"
"C16orf61","Previous symbol","CMC2","C-X9-C motif containing 2","HGNC:24447","16q23.2"
"C9orf9","Previous symbol","SPACA9","sperm acrosome associated 9","HGNC:1367","9q34.13"
"C2orf24","Previous symbol","CNPPD1","cyclin Pas1/PHO80 domain containing 1","HGNC:25220","2q35"
"LOC389493","Unmatched","","","",""
"CXorf48","Previous symbol","CT55","cancer/testis antigen 55","HGNC:26047","Xq26.3"
"SFRS11","Previous symbol","SRSF11","serine and arginine rich splicing factor 11","HGNC:10782","1p31.1"
"ATP5G3","Previous symbol","ATP5MC3","ATP synthase membrane subunit c locus 3","HGNC:843","2q31.1"
"KIAA0355","Previous symbol","GARRE1","granule associated Rac and RHOG effector 1","HGNC:29016","19q13.11"
"LOC100133331","Unmatched","","","",""
"KARS","Previous symbol","KARS1","lysyl-tRNA synthetase 1","HGNC:6215","16q23.1"
"KIAA0090","Previous symbol","EMC1","ER membrane protein complex subunit 1","HGNC:28957","1p36.13"
"KIAA1704","Previous symbol","GPALPP1","GPALPP motifs containing 1","HGNC:20298","13q14.12"
"C21orf128","Previous symbol","UMODL1-AS1","UMODL1 antisense RNA 1","HGNC:23821","21q22.3"
"TMEM84","Previous symbol","EWSAT1","Ewing sarcoma associated transcript 1","HGNC:26596","15q23"
"CP110","Alias symbol","CCP110","centriolar coiled-coil protein 110","HGNC:24342","16p12.3"
"C17orf81","Previous symbol","ELP5","elongator acetyltransferase complex subunit 5","HGNC:30617","17p13.1"
"DULLARD","Previous symbol","CTDNEP1","CTD nuclear envelope phosphatase 1","HGNC:19085","17p13.1"
"FAM103A1","Previous symbol","RAMAC","RNA guanine-7 methyltransferase activating subunit","HGNC:31022","15q25.2"
"C8orf31","Previous symbol","LINC02904","long intergenic non-protein coding RNA 2904","HGNC:26731","8q24.3"
"AURKAPS1","Previous symbol","AURKAP1","aurora kinase A pseudogene 1","HGNC:18611","1q41"
"USP17","Previous symbol","USP17L9P","ubiquitin specific peptidase 17 like family member 9, pseudogene","HGNC:12615","4p16.1"
